judge_model,experiment_type,app,variant,detector_model,method,n_removed,n_omissions,n_additions,omissions_match,omissions_partial,omissions_none,reqs_found_via_omissions,additions_match,additions_partial,additions_none,reqs_found_via_additions
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,claude-sonnet-4-6,twoshot,3,5,6,1,4,0,2,0,3,3,2
gpt-5.4,microservices,nutrition,auth-R1R2R3,claude-sonnet-4-6,twoshot,3,5,6,1,4,0,2,1,3,3,2
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,claude-sonnet-4-6,zeroshot,3,5,6,1,4,0,3,2,2,2,2
gpt-5.4,microservices,nutrition,auth-R1R2R3,claude-sonnet-4-6,zeroshot,3,5,6,1,4,0,3,3,1,2,2
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,gpt-4.1-mini,oneshot-tracker,3,10,3,1,2,7,2,1,1,1,2
gpt-5.4,microservices,nutrition,auth-R1R2R3,gpt-4.1-mini,oneshot-tracker,3,10,3,2,1,7,2,1,1,1,2
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,gpt-4.1-mini,oneshot-warehouse,3,7,4,1,2,4,2,1,3,0,2
gpt-5.4,microservices,nutrition,auth-R1R2R3,gpt-4.1-mini,oneshot-warehouse,3,7,4,3,1,3,3,1,3,0,2
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,gpt-4.1-mini,twoshot,3,8,3,1,3,4,3,1,1,1,2
gpt-5.4,microservices,nutrition,auth-R1R2R3,gpt-4.1-mini,twoshot,3,8,3,1,3,4,3,1,1,1,2
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,gpt-4.1-mini,zeroshot,3,7,6,1,2,4,2,1,1,4,2
gpt-5.4,microservices,nutrition,auth-R1R2R3,gpt-4.1-mini,zeroshot,3,7,6,1,2,4,2,1,1,4,2
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,gpt-5.4,oneshot-tracker,3,6,5,2,4,0,2,0,3,2,2
gpt-5.4,microservices,nutrition,auth-R1R2R3,gpt-5.4,oneshot-tracker,3,6,5,3,2,1,2,0,2,3,1
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,gpt-5.4,oneshot-warehouse,3,4,5,1,2,1,2,0,0,5,0
gpt-5.4,microservices,nutrition,auth-R1R2R3,gpt-5.4,oneshot-warehouse,3,4,5,2,1,1,2,0,1,4,1
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,gpt-5.4,twoshot,3,6,4,2,3,1,2,0,2,2,1
gpt-5.4,microservices,nutrition,auth-R1R2R3,gpt-5.4,twoshot,3,6,4,3,3,1,3,0,2,2,1
claude-sonnet-4-6,microservices,nutrition,auth-R1R2R3,gpt-5.4,zeroshot,3,5,4,2,2,1,2,0,2,2,1
gpt-5.4,microservices,nutrition,auth-R1R2R3,gpt-5.4,zeroshot,3,5,4,3,1,1,2,0,2,2,1
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,DeepSeek-V3-0324,oneshot-tracker,4,5,3,1,1,3,2,0,1,2,1
gpt-5.4,microservices,nutrition,dishes-R4R5R6,DeepSeek-V3-0324,oneshot-tracker,4,5,3,1,0,4,1,0,1,2,1
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,DeepSeek-V3-0324,oneshot-warehouse,4,5,4,1,2,2,3,0,1,3,1
gpt-5.4,microservices,nutrition,dishes-R4R5R6,DeepSeek-V3-0324,oneshot-warehouse,4,5,4,1,0,4,1,0,1,3,1
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,DeepSeek-V3-0324,twoshot,4,5,2,1,1,3,2,0,1,1,1
gpt-5.4,microservices,nutrition,dishes-R4R5R6,DeepSeek-V3-0324,twoshot,4,5,2,1,0,4,1,0,1,1,1
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,DeepSeek-V3-0324,zeroshot,4,5,3,1,2,2,2,0,0,3,0
gpt-5.4,microservices,nutrition,dishes-R4R5R6,DeepSeek-V3-0324,zeroshot,4,5,3,1,2,2,2,0,0,3,0
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,claude-sonnet-4-6,oneshot-tracker,4,8,3,5,1,2,3,2,0,1,1
gpt-5.4,microservices,nutrition,dishes-R4R5R6,claude-sonnet-4-6,oneshot-tracker,4,8,3,4,2,2,3,2,1,0,1
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,claude-sonnet-4-6,oneshot-warehouse,4,4,4,4,0,0,3,2,2,0,2
gpt-5.4,microservices,nutrition,dishes-R4R5R6,claude-sonnet-4-6,oneshot-warehouse,4,4,4,3,1,0,3,2,1,1,2
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,claude-sonnet-4-6,twoshot,4,6,3,5,1,0,3,2,0,1,1
gpt-5.4,microservices,nutrition,dishes-R4R5R6,claude-sonnet-4-6,twoshot,4,6,3,5,1,0,3,2,0,1,1
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,claude-sonnet-4-6,zeroshot,4,5,3,1,3,1,3,1,2,0,2
gpt-5.4,microservices,nutrition,dishes-R4R5R6,claude-sonnet-4-6,zeroshot,4,5,3,3,1,1,3,2,1,0,2
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,gpt-4.1-mini,oneshot-tracker,4,7,4,1,3,3,3,0,1,3,1
gpt-5.4,microservices,nutrition,dishes-R4R5R6,gpt-4.1-mini,oneshot-tracker,4,7,4,1,3,3,3,0,1,3,1
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,gpt-4.1-mini,oneshot-warehouse,4,7,5,1,2,4,3,0,2,3,1
gpt-5.4,microservices,nutrition,dishes-R4R5R6,gpt-4.1-mini,oneshot-warehouse,4,7,5,1,1,5,2,0,1,4,1
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,gpt-4.1-mini,twoshot,4,5,2,1,2,2,3,0,2,0,1
gpt-5.4,microservices,nutrition,dishes-R4R5R6,gpt-4.1-mini,twoshot,4,5,2,1,1,3,2,0,2,0,1
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,gpt-4.1-mini,zeroshot,4,6,6,1,2,3,2,0,4,2,2
gpt-5.4,microservices,nutrition,dishes-R4R5R6,gpt-4.1-mini,zeroshot,4,6,6,1,0,5,1,0,5,2,3
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,gpt-5.4,oneshot-tracker,4,5,3,2,2,1,3,0,3,0,2
gpt-5.4,microservices,nutrition,dishes-R4R5R6,gpt-5.4,oneshot-tracker,4,5,3,2,2,1,3,0,3,0,2
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,gpt-5.4,oneshot-warehouse,4,6,3,3,1,2,3,0,1,2,1
gpt-5.4,microservices,nutrition,dishes-R4R5R6,gpt-5.4,oneshot-warehouse,4,6,3,2,3,1,3,0,1,2,1
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,gpt-5.4,twoshot,4,7,3,1,3,3,3,0,3,0,2
gpt-5.4,microservices,nutrition,dishes-R4R5R6,gpt-5.4,twoshot,4,7,3,2,2,3,3,0,2,1,2
claude-sonnet-4-6,microservices,nutrition,dishes-R4R5R6,gpt-5.4,zeroshot,4,7,4,3,3,1,3,0,1,3,1
gpt-5.4,microservices,nutrition,dishes-R4R5R6,gpt-5.4,zeroshot,4,7,4,3,2,2,3,0,1,3,1
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,DeepSeek-V3-0324,oneshot-tracker,3,5,3,2,0,3,2,0,0,3,0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,DeepSeek-V3-0324,oneshot-tracker,3,5,3,2,0,3,2,0,1,2,1
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,DeepSeek-V3-0324,oneshot-warehouse,3,4,3,2,0,2,2,0,0,3,0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,DeepSeek-V3-0324,oneshot-warehouse,3,4,3,2,0,2,2,0,0,3,0
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,DeepSeek-V3-0324,twoshot,3,4,2,1,1,2,2,0,1,1,1
gpt-5.4,microservices,nutrition,profiles-R7R8R9,DeepSeek-V3-0324,twoshot,3,4,2,1,1,2,2,0,0,2,0
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,DeepSeek-V3-0324,zeroshot,3,4,3,2,1,1,3,1,0,2,1
gpt-5.4,microservices,nutrition,profiles-R7R8R9,DeepSeek-V3-0324,zeroshot,3,4,3,2,1,1,3,0,1,2,1
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,claude-sonnet-4-6,oneshot-tracker,3,5,5,2,1,2,3,1,1,3,2
gpt-5.4,microservices,nutrition,profiles-R7R8R9,claude-sonnet-4-6,oneshot-tracker,3,5,5,2,0,3,2,1,2,2,3
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,claude-sonnet-4-6,oneshot-warehouse,3,4,4,2,1,1,3,1,0,3,1
gpt-5.4,microservices,nutrition,profiles-R7R8R9,claude-sonnet-4-6,oneshot-warehouse,3,4,4,2,1,1,3,1,1,2,2
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,claude-sonnet-4-6,twoshot,3,4,5,1,1,2,2,1,1,3,2
gpt-5.4,microservices,nutrition,profiles-R7R8R9,claude-sonnet-4-6,twoshot,3,4,5,1,0,3,1,1,2,2,3
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,claude-sonnet-4-6,zeroshot,3,4,3,3,0,1,2,1,2,0,3
gpt-5.4,microservices,nutrition,profiles-R7R8R9,claude-sonnet-4-6,zeroshot,3,4,3,3,0,1,2,0,2,1,2
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,gpt-4.1-mini,oneshot-tracker,3,7,4,2,1,4,3,0,2,2,2
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-4.1-mini,oneshot-tracker,3,7,4,2,1,4,3,0,2,2,2
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,gpt-4.1-mini,oneshot-warehouse,3,7,1,2,1,4,3,0,1,0,1
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-4.1-mini,oneshot-warehouse,3,7,1,2,1,4,3,0,0,1,0
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,gpt-4.1-mini,twoshot,3,7,1,2,0,5,2,0,1,0,1
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-4.1-mini,twoshot,3,7,1,2,1,4,3,0,1,0,1
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,gpt-4.1-mini,zeroshot,3,7,2,2,2,3,3,0,1,1,1
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-4.1-mini,zeroshot,3,7,2,2,2,3,3,0,0,2,0
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,gpt-5.4,oneshot-tracker,3,6,3,3,0,3,2,0,0,3,0
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-5.4,oneshot-tracker,3,6,3,3,0,3,2,0,0,3,0
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,gpt-5.4,oneshot-warehouse,3,7,2,2,0,5,2,0,1,1,1
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-5.4,oneshot-warehouse,3,7,2,2,0,5,2,0,1,1,1
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,gpt-5.4,twoshot,3,4,3,2,0,2,2,0,1,2,1
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-5.4,twoshot,3,4,3,2,0,2,2,0,1,2,1
claude-sonnet-4-6,microservices,nutrition,profiles-R7R8R9,gpt-5.4,zeroshot,3,7,3,3,0,4,2,0,2,1,2
gpt-5.4,microservices,nutrition,profiles-R7R8R9,gpt-5.4,zeroshot,3,7,3,3,0,4,2,0,1,2,1
claude-sonnet-4-6,microservices,nutrition,ratings-R10R11R12,DeepSeek-V3-0324,oneshot-tracker,3,4,2,2,0,2,2,0,0,2,0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,DeepSeek-V3-0324,oneshot-tracker,3,4,2,2,0,2,2,0,0,2,0
claude-sonnet-4-6,microservices,nutrition,ratings-R10R11R12,DeepSeek-V3-0324,oneshot-warehouse,3,4,3,1,1,2,2,0,1,2,1
gpt-5.4,microservices,nutrition,ratings-R10R11R12,DeepSeek-V3-0324,oneshot-warehouse,3,4,3,1,1,2,2,0,0,3,0
claude-sonnet-4-6,microservices,nutrition,ratings-R10R11R12,DeepSeek-V3-0324,twoshot,3,5,2,3,1,1,3,0,1,1,1
gpt-5.4,microservices,nutrition,ratings-R10R11R12,DeepSeek-V3-0324,twoshot,3,5,2,3,1,1,3,0,1,1,1
claude-sonnet-4-6,microservices,nutrition,ratings-R10R11R12,DeepSeek-V3-0324,zeroshot,3,4,3,1,1,2,2,0,1,2,1
gpt-5.4,microservices,nutrition,ratings-R10R11R12,DeepSeek-V3-0324,zeroshot,3,4,3,2,0,2,2,0,0,3,0
claude-sonnet-4-6,microservices,nutrition,ratings-R10R11R12,claude-sonnet-4-6,oneshot-tracker,3,4,2,2,1,1,2,0,1,1,1
gpt-5.4,microservices,nutrition,ratings-R10R11R12,claude-sonnet-4-6,oneshot-tracker,3,4,2,2,1,1,2,0,1,1,1
claude-sonnet-4-6,microservices,nutrition,ratings-R10R11R12,claude-sonnet-4-6,oneshot-warehouse,3,6,4,2,1,2,2,0,1,3,1
gpt-5.4,microservices,nutrition,ratings-R10R11R12,claude-sonnet-4-6,oneshot-warehouse,3,6,4,2,0,4,1,0,1,3,1
claude-sonnet-4-6,microservices,nutrition,ratings-R10R11R12,claude-sonnet-4-6,twoshot,3,4,3,2,1,1,2,0,1,2,1
gpt-5.4,microservices,nutrition,ratings-R10R11R12,claude-sonnet-4-6,twoshot,3,4,3,2,1,1,2,0,1,2,1
claude-sonnet-4-6,microservices,nutrition,ratings-R10R11R12,claude-sonnet-4-6,zeroshot,3,5,5,1,1,3,1,0,1,4,1
gpt-5.4,microservices,nutrition,ratings-R10R11R12,claude-sonnet-4-6,zeroshot,3,5,5,1,2,2,2,0,1,4,1
claude-sonnet-4-6,microservices,nutrition,ratings-R10R11R12,gpt-4.1-mini,oneshot-tracker,3,6,2,3,1,2,2,0,1,1,1
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-4.1-mini,oneshot-tracker,3,6,2,4,0,2,2,0,1,1,1
claude-sonnet-4-6,microservices,nutrition,ratings-R10R11R12,gpt-4.1-mini,oneshot-warehouse,3,9,4,3,1,5,2,0,1,3,1
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-4.1-mini,oneshot-warehouse,3,9,4,4,0,5,2,0,0,4,0
claude-sonnet-4-6,microservices,nutrition,ratings-R10R11R12,gpt-4.1-mini,twoshot,3,8,3,3,0,5,2,0,2,1,2
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-4.1-mini,twoshot,3,8,3,3,0,5,2,0,1,2,1
claude-sonnet-4-6,microservices,nutrition,ratings-R10R11R12,gpt-4.1-mini,zeroshot,3,6,5,2,1,3,3,0,1,4,1
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-4.1-mini,zeroshot,3,6,5,2,1,3,3,0,1,4,1
claude-sonnet-4-6,microservices,nutrition,ratings-R10R11R12,gpt-5.4,oneshot-tracker,3,4,3,1,0,3,1,0,1,2,1
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-5.4,oneshot-tracker,3,4,3,1,0,3,1,0,0,3,0
claude-sonnet-4-6,microservices,nutrition,ratings-R10R11R12,gpt-5.4,oneshot-warehouse,3,6,3,2,0,4,2,1,1,1,2
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-5.4,oneshot-warehouse,3,6,3,2,0,4,2,1,0,2,1
claude-sonnet-4-6,microservices,nutrition,ratings-R10R11R12,gpt-5.4,twoshot,3,5,3,1,1,3,1,0,2,1,2
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-5.4,twoshot,3,5,3,1,1,3,1,0,1,2,1
claude-sonnet-4-6,microservices,nutrition,ratings-R10R11R12,gpt-5.4,zeroshot,3,5,4,1,1,3,1,0,0,4,0
gpt-5.4,microservices,nutrition,ratings-R10R11R12,gpt-5.4,zeroshot,3,5,4,2,0,3,1,0,0,4,0
claude-sonnet-4-6,microservices,pet-store,petorder-R8R9R10,DeepSeek-V3-0324,oneshot-tracker,3,6,3,2,0,4,2,0,1,2,1
gpt-5.4,microservices,pet-store,petorder-R8R9R10,DeepSeek-V3-0324,oneshot-tracker,3,6,3,2,0,4,2,0,1,2,1
claude-sonnet-4-6,microservices,pet-store,petorder-R8R9R10,DeepSeek-V3-0324,oneshot-warehouse,3,6,3,2,0,4,2,0,1,2,1
gpt-5.4,microservices,pet-store,petorder-R8R9R10,DeepSeek-V3-0324,oneshot-warehouse,3,6,3,2,0,4,2,0,1,2,1
claude-sonnet-4-6,microservices,pet-store,petorder-R8R9R10,DeepSeek-V3-0324,twoshot,3,5,2,1,0,4,1,0,1,1,1
gpt-5.4,microservices,pet-store,petorder-R8R9R10,DeepSeek-V3-0324,twoshot,3,5,2,1,0,4,1,0,1,1,1
claude-sonnet-4-6,microservices,pet-store,petorder-R8R9R10,DeepSeek-V3-0324,zeroshot,3,5,2,2,0,3,2,0,0,2,0
gpt-5.4,microservices,pet-store,petorder-R8R9R10,DeepSeek-V3-0324,zeroshot,3,5,2,2,0,3,2,0,2,0,2
claude-sonnet-4-6,microservices,pet-store,petorder-R8R9R10,claude-sonnet-4-6,oneshot-tracker,3,15,5,2,1,12,3,0,1,4,1
gpt-5.4,microservices,pet-store,petorder-R8R9R10,claude-sonnet-4-6,oneshot-tracker,3,15,5,3,0,12,3,0,1,4,1
claude-sonnet-4-6,microservices,pet-store,petorder-R8R9R10,claude-sonnet-4-6,oneshot-warehouse,3,8,9,1,0,7,1,2,0,7,1
gpt-5.4,microservices,pet-store,petorder-R8R9R10,claude-sonnet-4-6,oneshot-warehouse,3,8,9,1,0,7,1,2,1,6,2
claude-sonnet-4-6,microservices,pet-store,petorder-R8R9R10,claude-sonnet-4-6,twoshot,3,9,7,3,0,6,2,1,0,6,1
gpt-5.4,microservices,pet-store,petorder-R8R9R10,claude-sonnet-4-6,twoshot,3,9,7,3,0,6,2,1,0,6,1
claude-sonnet-4-6,microservices,pet-store,petorder-R8R9R10,claude-sonnet-4-6,zeroshot,3,4,3,3,0,1,2,0,0,3,0
gpt-5.4,microservices,pet-store,petorder-R8R9R10,claude-sonnet-4-6,zeroshot,3,4,3,3,0,1,2,0,0,3,0
claude-sonnet-4-6,microservices,pet-store,petorder-R8R9R10,gpt-4.1-mini,oneshot-tracker,3,10,1,1,0,9,1,0,0,1,0
gpt-5.4,microservices,pet-store,petorder-R8R9R10,gpt-4.1-mini,oneshot-tracker,3,10,1,1,0,9,1,0,0,1,0
claude-sonnet-4-6,microservices,pet-store,petorder-R8R9R10,gpt-4.1-mini,oneshot-warehouse,3,10,3,1,0,9,1,0,0,3,0
gpt-5.4,microservices,pet-store,petorder-R8R9R10,gpt-4.1-mini,oneshot-warehouse,3,10,3,1,0,9,1,0,0,3,0
claude-sonnet-4-6,microservices,pet-store,petorder-R8R9R10,gpt-4.1-mini,twoshot,3,7,5,1,0,6,1,0,0,5,0
gpt-5.4,microservices,pet-store,petorder-R8R9R10,gpt-4.1-mini,twoshot,3,7,5,1,0,6,1,0,0,5,0
claude-sonnet-4-6,microservices,pet-store,petorder-R8R9R10,gpt-4.1-mini,zeroshot,3,12,3,1,0,11,1,0,0,3,0
gpt-5.4,microservices,pet-store,petorder-R8R9R10,gpt-4.1-mini,zeroshot,3,12,3,1,0,11,1,0,1,2,1
claude-sonnet-4-6,microservices,pet-store,petorder-R8R9R10,gpt-5.4,oneshot-tracker,3,7,5,2,0,5,2,1,1,3,1
gpt-5.4,microservices,pet-store,petorder-R8R9R10,gpt-5.4,oneshot-tracker,3,7,5,2,0,5,2,1,1,3,1
claude-sonnet-4-6,microservices,pet-store,petorder-R8R9R10,gpt-5.4,oneshot-warehouse,3,7,3,2,0,5,2,0,0,3,0
gpt-5.4,microservices,pet-store,petorder-R8R9R10,gpt-5.4,oneshot-warehouse,3,7,3,2,1,4,2,0,0,3,0
claude-sonnet-4-6,microservices,pet-store,petorder-R8R9R10,gpt-5.4,twoshot,3,8,2,2,2,4,3,0,0,2,0
gpt-5.4,microservices,pet-store,petorder-R8R9R10,gpt-5.4,twoshot,3,8,2,2,2,4,3,0,0,2,0
claude-sonnet-4-6,microservices,pet-store,petorder-R8R9R10,gpt-5.4,zeroshot,3,6,5,2,0,4,2,1,0,4,1
gpt-5.4,microservices,pet-store,petorder-R8R9R10,gpt-5.4,zeroshot,3,6,5,2,0,4,2,1,2,2,2
claude-sonnet-4-6,microservices,pet-store,petstore-R4R5R6R7,DeepSeek-V3-0324,oneshot-tracker,4,6,2,4,0,2,4,0,1,1,1
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,DeepSeek-V3-0324,oneshot-tracker,4,6,2,3,1,2,4,0,1,1,1
claude-sonnet-4-6,microservices,pet-store,petstore-R4R5R6R7,DeepSeek-V3-0324,oneshot-warehouse,4,6,3,3,2,1,3,0,2,1,2
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,DeepSeek-V3-0324,oneshot-warehouse,4,6,3,4,1,1,3,0,2,1,1
claude-sonnet-4-6,microservices,pet-store,petstore-R4R5R6R7,DeepSeek-V3-0324,twoshot,4,7,3,3,2,2,4,0,2,1,2
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,DeepSeek-V3-0324,twoshot,4,7,3,2,2,3,3,0,2,1,2
claude-sonnet-4-6,microservices,pet-store,petstore-R4R5R6R7,DeepSeek-V3-0324,zeroshot,4,6,2,3,2,1,3,0,1,1,1
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,DeepSeek-V3-0324,zeroshot,4,6,2,3,1,2,3,0,1,1,1
claude-sonnet-4-6,microservices,pet-store,petstore-R4R5R6R7,claude-sonnet-4-6,oneshot-tracker,4,12,4,2,3,7,4,1,1,2,2
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,claude-sonnet-4-6,oneshot-tracker,4,12,4,4,1,7,4,0,2,2,2
claude-sonnet-4-6,microservices,pet-store,petstore-R4R5R6R7,claude-sonnet-4-6,oneshot-warehouse,4,13,5,4,1,8,4,1,1,3,2
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,claude-sonnet-4-6,oneshot-warehouse,4,13,5,4,1,8,4,0,2,3,2
claude-sonnet-4-6,microservices,pet-store,petstore-R4R5R6R7,claude-sonnet-4-6,twoshot,4,11,5,3,2,6,3,1,1,3,2
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,claude-sonnet-4-6,twoshot,4,11,5,4,1,6,3,0,1,4,1
claude-sonnet-4-6,microservices,pet-store,petstore-R4R5R6R7,claude-sonnet-4-6,zeroshot,4,13,7,3,4,5,4,1,3,3,2
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,claude-sonnet-4-6,zeroshot,4,13,7,5,1,7,4,1,3,3,2
claude-sonnet-4-6,microservices,pet-store,petstore-R4R5R6R7,gpt-4.1-mini,oneshot-tracker,4,19,6,2,0,17,2,3,1,2,4
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,gpt-4.1-mini,oneshot-tracker,4,19,6,2,0,17,2,3,1,2,4
claude-sonnet-4-6,microservices,pet-store,petstore-R4R5R6R7,gpt-4.1-mini,oneshot-warehouse,4,12,7,2,0,10,2,2,0,5,2
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,gpt-4.1-mini,oneshot-warehouse,4,12,7,2,0,10,2,0,2,5,2
claude-sonnet-4-6,microservices,pet-store,petstore-R4R5R6R7,gpt-4.1-mini,twoshot,4,15,8,2,0,13,2,2,0,6,2
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,gpt-4.1-mini,twoshot,4,15,8,2,0,13,2,2,1,5,3
claude-sonnet-4-6,microservices,pet-store,petstore-R4R5R6R7,gpt-4.1-mini,zeroshot,4,20,10,2,0,18,2,1,1,8,2
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,gpt-4.1-mini,zeroshot,4,20,10,2,0,18,2,2,1,7,3
claude-sonnet-4-6,microservices,pet-store,petstore-R4R5R6R7,gpt-5.4,oneshot-tracker,4,13,2,6,2,5,4,1,0,1,1
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,gpt-5.4,oneshot-tracker,4,13,2,6,0,7,3,0,1,1,1
claude-sonnet-4-6,microservices,pet-store,petstore-R4R5R6R7,gpt-5.4,oneshot-warehouse,4,13,3,5,5,4,4,1,0,2,1
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,gpt-5.4,oneshot-warehouse,4,13,3,5,5,4,4,1,0,2,1
claude-sonnet-4-6,microservices,pet-store,petstore-R4R5R6R7,gpt-5.4,twoshot,4,16,2,6,4,6,4,1,0,1,1
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,gpt-5.4,twoshot,4,16,2,7,2,7,4,0,1,1,1
claude-sonnet-4-6,microservices,pet-store,petstore-R4R5R6R7,gpt-5.4,zeroshot,4,19,4,7,3,9,4,0,0,4,0
gpt-5.4,microservices,pet-store,petstore-R4R5R6R7,gpt-5.4,zeroshot,4,19,4,7,1,11,3,0,0,4,0
claude-sonnet-4-6,microservices,pet-store,registry-R1R2R3,DeepSeek-V3-0324,oneshot-tracker,3,4,2,1,1,2,2,0,1,1,1
gpt-5.4,microservices,pet-store,registry-R1R2R3,DeepSeek-V3-0324,oneshot-tracker,3,4,2,2,0,2,2,0,1,1,1
claude-sonnet-4-6,microservices,pet-store,registry-R1R2R3,DeepSeek-V3-0324,oneshot-warehouse,3,4,2,2,1,1,2,0,0,2,0
gpt-5.4,microservices,pet-store,registry-R1R2R3,DeepSeek-V3-0324,oneshot-warehouse,3,4,2,2,0,2,2,0,0,2,0
claude-sonnet-4-6,microservices,pet-store,registry-R1R2R3,DeepSeek-V3-0324,twoshot,3,3,2,2,0,1,2,0,0,2,0
gpt-5.4,microservices,pet-store,registry-R1R2R3,DeepSeek-V3-0324,twoshot,3,3,2,2,0,1,2,0,1,1,1
claude-sonnet-4-6,microservices,pet-store,registry-R1R2R3,DeepSeek-V3-0324,zeroshot,3,4,2,2,1,1,2,0,0,2,0
gpt-5.4,microservices,pet-store,registry-R1R2R3,DeepSeek-V3-0324,zeroshot,3,4,2,2,1,1,2,0,1,1,1
claude-sonnet-4-6,microservices,pet-store,registry-R1R2R3,claude-sonnet-4-6,oneshot-tracker,3,6,3,3,1,2,2,0,2,1,1
gpt-5.4,microservices,pet-store,registry-R1R2R3,claude-sonnet-4-6,oneshot-tracker,3,6,3,3,1,2,2,1,1,1,1
claude-sonnet-4-6,microservices,pet-store,registry-R1R2R3,claude-sonnet-4-6,oneshot-warehouse,3,8,5,2,4,2,2,0,2,3,1
gpt-5.4,microservices,pet-store,registry-R1R2R3,claude-sonnet-4-6,oneshot-warehouse,3,8,5,4,2,2,2,2,1,2,1
claude-sonnet-4-6,microservices,pet-store,registry-R1R2R3,claude-sonnet-4-6,twoshot,3,7,4,2,2,3,2,0,2,2,1
gpt-5.4,microservices,pet-store,registry-R1R2R3,claude-sonnet-4-6,twoshot,3,7,4,2,2,3,2,0,2,2,1
claude-sonnet-4-6,microservices,pet-store,registry-R1R2R3,claude-sonnet-4-6,zeroshot,3,7,4,2,2,3,2,0,3,1,1
gpt-5.4,microservices,pet-store,registry-R1R2R3,claude-sonnet-4-6,zeroshot,3,7,4,0,4,3,2,0,2,2,1
